lehd_name,lodes_var,industry_code,total_employment,unemployment_totals,percent_change_employment
"Agriculture, Forestry, Fishing, and Hunting",CNS01,11,157833,10093,-0.06394733674199946
"Mining, Quarrying, and Oil and Gas Extractions",CNS02,21,7095,1739,-0.24510218463706837
Utilities,CNS03,22,56275,1878.900589542037,-0.03338783810825477
Construction,CNS04,23,630894,245903.099410458,-0.38976927884947077
Manufacturing,CNS05,31-33,745056,177164,-0.23778615298715802
Wholesale Trade,CNS06,42,459000,86696,-0.18888017429193898
Retail Trade,CNS07,44-45,1287892,333387,-0.2588625443748389
Transportation and Warehousing,CNS08,48-49,510051,104505,-0.2048912755783245
Information,CNS09,51,437710,66370,-0.1516300747069978
Finance and Insurance,CNS10,52,614384,18952,-0.030847157478059325
Real Estate and Rental and Leasing,CNS11,53,262335,38504,-0.1467741628070978
"Professional, Scientific, and Technical Services",CNS12,54,892932,86316,-0.0966658155380253
Management of Companies and Enterprises,CNS13,55,189390,9626,-0.05082633718781351
Administrative and Support and Waste Management and Remediation Services,CNS14,56,739663,194599,-0.26309143488318326
Educational Services,CNS15,61,1233473,71735,-0.05815692763441113
Health Care and Social Assistance,CNS16,62,2230339,304220,-0.13640078929705304
"Arts, Entertainment, and Recreation",CNS17,71,269565,100342,-0.3722367518038321
Accomodation and Food Services,CNS18,72,1092147,455310,-0.4168944290466393
Other Services,CNS19,81,471774,142100,-0.30120354237410285
Public Administration,CNS20,92,713511,19677,-0.02757771078511754
