series_id,reference,percent_change_employment_previous,percent_change_imputed
CES1000000001,690,-0.13043478260869568,-0.11739130434782608
CES2000000001,7648,-0.033080543933054374,-0.03347280334728031
CES3000000001,12799,-0.0446909914837097,-0.045472302523634656
CES3100000001,8007,-0.05108030473335834,-0.053203446983889124
CES3200000001,4792,-0.03401502504173626,-0.03255425709515858
CES4000000001,27876,-0.02755058114507103,-0.029344238771703224
CES4200000001,15609.8,-0.022114312803495184,-0.024535868492869817
CES4300000001,5823.1,-0.02333808452542474,-0.028112173927976603
CES5000000001,2914,-0.088538091969801,-0.08304735758407689
CES5500000001,8875,-0.011380281690140825,-0.010478873239436637
CES5552000001,6513.4,0.003961064881628618,0.004114594528203508
CES5553000001,2361.6,-0.05377710027100269,-0.05077066395663965
CES6000000001,21469,-0.042945642554380714,-0.03842750011644702
CES6054000001,9708.7,-0.018725473029344908,-0.014595156921112018
CES6055000001,2425,-0.031958762886597936,-0.03241237113402062
CES6056000001,9334.8,-0.07099241547756774,-0.0647362557312422
CES6500000001,24565,-0.05365357215550581,-0.05393853042947283
CES6561000001,3778.7,-0.12173498822346307,-0.1127636488739513
CES6562000001,20786.5,-0.04127679022442454,-0.04323960262670479
CES7000000001,16915,-0.22577593851611,-0.22938220514336383
CES7071000001,2501.9,-0.3150805387905192,-0.32435349134657654
CES7072000001,14412.9,-0.21029771940414488,-0.21291343171741972
CES8000000001,5937,-0.07916456122620852,-0.07798551456964797
CES9000000001,22835,-0.05999562075760889,-0.058112546529450415
CES9091000001,2863,0.00908138316451268,6.985679357316421e-4
CES9092000001,5303,-0.06845181972468417,-0.06260607203469737
CES9093000001,14669,-0.07042061490217466,-0.0679664598813825
