series_id,reference,percent_change_employment_previous,percent_change_imputed
CES3231130001,81.4,-0.0724815724815725,-0.06142684250694408
CES3231140001,174,-0.08160919540229883,-0.07055446542767041
CES3231150001,155.7,-0.0282594733461784,-0.01720474337154998
CES3231160001,535.5,0.003548085901027065,0.014602815875655484
CES3231181101,86.1,-0.14518002322880375,-0.13412529325417533
CES3232910001,287.4,-0.09185803757828803,-0.07918415813470214
CES3232990001,37.9,-0.05804749340369386,-0.04537361396010797
CES3232210001,95.5,-0.03141361256544506,-0.035814052609449476
CES3232221001,150.1,-0.020652898067954673,-0.02505333811195909
CES3232411001,68.4,-0.03801169590643283,-0.03451213335175218
CES3232419001,45.6,-0.16666666666666674,-0.1631671041119861
CES3232520001,94.2,-0.03821656050955424,-0.03281179021229186
CES3232530001,37.3,0.010723860589812562,0.016128630887074946
CES3232540001,308.2,0.0029201817001947017,0.008324951997457086
CES3232550001,65.1,-0.03993855606758823,-0.03453378577032584
CES3232560001,111.2,-0.00629496402877705,-8.901937315146657e-4
CES3232610001,608.3,-0.04109814236396514,-0.036407710844265306
CES3232621001,58.8,0.015306122448979664,0.019996553968679498
CES3232629001,78.9,-0.03168567807351075,-0.026995246553810914
CES3132710001,40.7,-0.04422604422604437,-0.058323788586946645
CES3132720001,84.8,-0.10023584905660377,-0.11433359341750604
CES3133130001,57.8,-0.04671280276816603,-0.044834616559419116
CES3133140001,61.2,-0.07516339869281052,-0.07328521248406361
CES3133150001,115.9,-0.1553062985332183,-0.1534281123244714
CES3133210001,100.3,-0.10767696909272184,-0.1029596700833546
CES3133220001,34.4,-0.1191860465116279,-0.11446874750226066
CES3133270001,358,-0.07821229050279332,-0.07349499149342609
CES3133280001,140.3,-0.09194583036350679,-0.08722853135413955
CES3133299401,45.4,-0.01982378854625544,-0.015106489536888201
CES3133311001,75.9,-0.013175230566534912,-0.014436605465174335
CES3133330001,95.4,-0.05555555555555569,-0.056816930454195114
CES3133350001,176.8,-0.08653846153846156,-0.08779983643710099
CES3133360001,97.7,-0.057318321392016425,-0.05857969629065585
CES3133520001,61.8,-0.06472491909385114,-0.07189426396406118
CES3133641901,88.1,0.01589103291713978,0.011071479299605724
CES3133690001,60.8,-0.03618421052631571,-0.041003764143849764
CES3133660001,142.9,-0.062281315605318466,-0.06710086922285252
CES3132110001,92.9,-0.03336921420882677,-0.029228931695431726
CES3132120001,84.2,-0.07600950118764849,-0.07186921867425344
