lehd_name,lodes_var,industry_code,total_employment,unemployment_totals,percent_change_employment
"Agriculture, Forestry, Fishing, and Hunting",CNS01,11,33381,1276,-0.0382253377669932
"Mining, Quarrying, and Oil and Gas Extractions",CNS02,21,4945,957,-0.19352881698685542
Utilities,CNS03,22,36636,798.1318761561677,-0.02178545354722589
Construction,CNS04,23,417474,127791.86812384386,-0.30610736985738957
Manufacturing,CNS05,31-33,436459,72936,-0.16710847983430288
Wholesale Trade,CNS06,42,324353,47011,-0.14493776841897563
Retail Trade,CNS07,44-45,900101,190989,-0.2121861879944584
Transportation and Warehousing,CNS08,48-49,374882,58300,-0.15551560224283908
Information,CNS09,51,285495,36974,-0.1295083976952311
Finance and Insurance,CNS10,52,518959,9768,-0.01882229617368617
Real Estate and Rental and Leasing,CNS11,53,202883,20409,-0.10059492416811659
"Professional, Scientific, and Technical Services",CNS12,54,678739,47812,-0.07044239390988288
Management of Companies and Enterprises,CNS13,55,144402,6622,-0.04585809060816332
Administrative and Support and Waste Management and Remediation Services,CNS14,56,559479,119560,-0.2136988162200905
Educational Services,CNS15,61,965422,33888,-0.035101748251023905
Health Care and Social Assistance,CNS16,62,1739074,154268,-0.08870697854145367
"Arts, Entertainment, and Recreation",CNS17,71,188554,52295,-0.27734760333909647
Accomodation and Food Services,CNS18,72,796303,278988,-0.350354073763379
Other Services,CNS19,81,368561,81573,-0.22132835541470747
Public Administration,CNS20,92,539659,6400,-0.011859340805953389
