cbsa,cbsa_name,X000,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,max,tmax,total_workers_employed,worker_job_loss_rate
10100,"Aberdeen, SD",927,-0,-3.2,1.3,-79.9,112.5,23.4,42.5,32.1,0.5,3.3,-6.1,-1.4,2.6,-6.9,180.1,193.8,25.8,287.6,73.3,45.2,500,100,21696,0.0427
10140,"Aberdeen, WA",2192,8.4,0.9,-1,107.9,183,24.1,-46.5,57.6,15.4,9,1.4,11.5,9.4,0.2,210.5,157.6,323.9,809.9,164.8,144.3,1000,150,28036,0.0782
10180,"Abilene, TX",4142,0.1,485.6,8.7,271.4,163.6,136.8,207,68.9,75,-44.7,31.6,13.6,41.3,101.6,414.7,669.9,298.9,1071.7,201.5,-75.2,2000,100,66697,0.0621
10220,"Ada, OK",835,0.2,85.1,1.6,51.5,103.3,16.8,-55.2,12.7,-3.9,-7.9,10.7,87.4,0,36.5,218.9,58.6,153.6,32.6,4.5,27.5,250,100,15727,0.05307
10300,"Adrian, MI",4759,0.5,5.8,5.4,98.8,909.7,92.7,207.7,60.3,54.4,12.3,36.6,76.8,13.2,297.9,900.1,375.1,195.4,1134.1,149.7,132.7,2000,100,39531,0.12039
10420,"Akron, OH",25694,0,81.2,28.7,1008.8,2343.4,1016,1377.4,605,284.9,139.9,515.4,1044.4,427.6,1931.3,3311.3,2200.3,2090.2,6231.8,512.9,543.2,10000,100,324916,0.07908
10460,"Alamogordo, NM",1558,0.8,61.7,1.3,168.7,11.3,8.7,-3.2,57.5,27.9,36.5,15.3,58.4,5.3,23.4,66.2,174.5,48.7,734.4,69.4,-8.3,750,150,19520,0.07984
10500,"Albany, GA",1565,-1.9,-0.5,-2.2,56.4,150.9,20,-239.2,78.9,84.5,-14.3,68.1,104.5,23.3,122.1,8.8,275.1,95.4,622.5,124.4,-11.9,750,100,56060,0.02792
10540,"Albany, OR",3784,20.5,5.5,2,212.2,508.2,74.3,94,92.8,74.1,18.3,37.4,75.1,0,98,638.5,212.4,217,1082.7,181.1,139.7,2000,100,53321,0.07096
10580,"Albany-Schenectady-Troy, NY",51289,10.2,69.1,148.7,2145.2,2489.6,1738.1,4247.4,2905.2,214.8,695.4,484.4,2331.2,646.9,3305.7,745.7,6089.3,2791.3,13130.4,3083.6,4016.4,275000,200,419749,0.12218999999999999
10620,"Albemarle, NC",1699,-0.2,-1.1,-0.2,78.5,379.3,46.7,31.3,24.5,14,4,18.9,28.8,19.7,20.1,173.6,210.1,132.7,521.1,26.5,-29.4,750,100,26936,0.06307
10660,"Albert Lea, MN",1023,0.6,0.9,-1.7,31.8,145.2,15.7,-52.7,46.7,17.1,0.6,10.8,12,8.1,8.3,127.8,136.9,104.6,299.3,53.3,57.9,500,100,14703,0.06959
10700,"Albertville, AL",1212,-0.2,-5.4,-11.1,3.5,101.9,14.7,-94.3,-12.4,12.4,5.2,-4.8,13,53.3,164.4,121.2,297.1,81.8,429.7,12.4,29,500,100,38398,0.03155
10740,"Albuquerque, NM",29587,3.7,250,-1.8,2846.3,1204.5,372.3,137,1018.6,1712.5,848,271,2161.7,261.4,1191.7,943.6,2983.7,1735.2,9640.7,1608.1,398.6,10000,150,375390,0.07882
10760,"Alexander City, AL",824,-6.2,-3.4,-5.6,2.1,183.6,3.9,-65.4,-0.1,9,2,-2.8,3.5,32.4,119,58.2,200.3,91.8,163.6,12,26.3,250,100,18057,0.04565
10780,"Alexandria, LA",3347,24.3,146,2.3,550.4,178.7,76.4,-4,97,81.9,24.7,7.2,169.7,20.6,142.2,-182.2,944.3,128.7,957,76.8,-95.4,1000,100,55250,0.06058
10820,"Alexandria, MN",1347,0.1,5.2,-2,53.5,144.3,11.5,-55.4,37.5,12.8,1.5,16.2,19.3,9.1,3.8,185.1,215.1,88.1,470.3,84.6,46.2,500,100,18083,0.07448
10860,"Alice, TX",1212,0,428.8,4.2,86.5,31.1,27.6,10.9,14.7,-0.8,-6.2,26.6,0.7,9.1,18.7,81.7,180.7,49,222.1,31.6,-4.8,500,100,15839,0.07654
10900,"Allentown-Bethlehem-Easton, PA-NJ",35957,6.9,35.9,105.1,1593.4,2594.5,1569.3,3719.6,1887.8,684.6,128.1,87.8,1542.4,488.8,1900.5,2465,4022.9,2128.2,8670.5,2075.1,250,10000,150,399180,0.09008
10940,"Alma, MI",1730,3.2,11.4,2.4,31.1,235.2,38.3,65.6,26.9,10.8,5.3,13.9,22.1,6.8,94.7,301.2,207.1,54.3,491.1,49.8,59.1,500,100,14647,0.11813
10980,"Alpena, MI",1354,1.5,17.7,2.4,39.6,163.6,31,76.3,27.5,12.4,3.4,12.5,20.5,2,63.9,158.8,155.9,66.4,398.4,61.8,38.9,500,100,11902,0.11379
11020,"Altoona, PA",4663,2.9,21.8,24.7,235.9,395,202.6,596,214,85.8,11.5,-3.4,148.7,36.6,156.3,227.1,640.9,161.8,1165.9,322.4,16.7,2000,100,52295,0.08917
11060,"Altus, OK",377,0,69,0.4,24.9,36.1,8.4,-18.1,17,-3.6,-4.2,1.3,16.3,3.7,9.3,142.8,26.1,22.9,24.3,0.4,-0.4,250,100,8607,0.04378
11100,"Amarillo, TX",6486,0,370,15.2,484.5,256.8,262.5,388.3,100.3,55.3,-69.3,82.5,38.4,76.2,168.6,777.2,651.4,428.8,1994.5,334.2,71,2000,100,114759,0.05652
11140,"Americus, GA",317,-2.2,-2,-0.9,10.7,44.9,10.2,-60.5,16.4,18,-3.6,8.8,21.9,9.7,2.7,-2,54.9,13.4,165.4,15.8,-5,250,100,13047,0.02427
11180,"Ames, IA",1651,0,4.6,-1.5,206.3,57.9,10.6,-98.3,8.4,3.3,29.9,-2.8,14.7,12.9,24.9,165,231,130.8,697.4,97.9,58.1,750,150,38852,0.0425
11220,"Amsterdam, NY",2351,0.7,2.9,6.4,116.7,292.4,80.4,175.8,211.9,1.5,18.6,15.4,58,24.9,96.3,26.5,364.3,77.1,501.8,147.1,132,750,100,19904,0.1181
11260,"Anchorage, AK",22017,0.1,871,67.1,1126.7,500.9,483.6,1457,2358,233.9,350.3,306.1,546.8,69.9,599.2,3309.1,2081.9,924.5,5477.9,928.6,324.8,10000,200,176036,0.12507
11380,"Andrews, TX",838,0,473.1,1.2,59.5,13.2,13.8,17.3,3.7,-0.1,-2.2,9.6,1.3,5.1,11.1,56.3,23.2,19.4,104.9,22,6,500,200,8039,0.10428
11420,"Angola, IN",832,0.2,-0.1,0.7,20.7,467.1,20.2,26.2,3.1,10.7,3.7,5.9,-0.4,0.6,-17.2,87.4,81.7,0.4,64.4,34.4,22.5,500,100,16114,0.05163
11460,"Ann Arbor, MI",21108,0,7.6,19.7,209.2,1589.9,396.1,1051.4,446.1,350,35,228.5,788.7,100.1,1316.6,6911.8,1520.1,933.5,4450.7,536.6,216.8,10000,200,157840,0.13373
11500,"Anniston-Oxford-Jacksonville, AL",1923,-3.8,1,-4.5,3.1,395.7,20.1,-106.5,-44.3,49.7,5.3,4.6,10,31.6,299.8,178.5,414,87.9,508.6,38.7,33.5,750,100,41769,0.04604
11540,"Appleton, WI",9539,1,12,7.5,228.3,1240,249.3,473.7,66.3,218,124,58.9,200.6,152.1,947.2,558.2,810.4,674.4,2538.8,581.6,396.9,5000,100,127776,0.07466
11580,"Arcadia, FL",533,-0.2,-1.2,0.1,39,22.4,12,-7.6,12.7,2.2,-3.4,9.8,6,1.7,33.5,75.5,45.7,40.6,213.3,30.3,0.8,250,100,11616,0.0459
11620,"Ardmore, OK",993,0,206.6,0.2,78.1,88.5,26.3,-94,39,5.4,-10.1,10.5,54.3,0,36.1,230.1,52.3,136.3,110.4,3,19.7,250,100,20543,0.04832
11660,"Arkadelphia, AR",299,4,2.3,-3.7,6,121,-2.4,-38.3,-2.9,4.8,1.5,3.3,3.1,-3.5,14.8,-49.5,95.7,8.8,118.1,1.5,14.1,250,100,8400,0.03557
11680,"Arkansas City-Winfield, KS",700,0,20.6,-1.5,38.6,243.5,-3.4,-25.8,-6.2,3.4,8.9,6.4,10.8,1.5,0.1,87.2,103.5,37,137.8,10.3,27,250,100,14280,0.049
11700,"Asheville, NC",14009,-0.1,-4.4,6.4,383.9,1908.6,178.3,322.7,247.8,216.5,18.5,162.4,265.5,65.6,254.2,1164.5,1499.6,1455.3,5682.3,353.5,-172,10000,150,186434,0.07514
11740,"Ashland, OH",1645,0.8,11.3,4.2,88.6,296,62.8,50.2,48.2,6.1,6.2,20.5,46.8,10,98.4,232.3,138,59,395.1,33.8,36.8,500,100,22045,0.07462
11780,"Ashtabula, OH",2936,1.6,14.9,8,134.8,512.9,88.1,34.4,64,39.5,9.9,33.6,76.8,18.3,178.1,345.7,331.9,113,811,42.4,77.2,1000,100,38309,0.07664
11820,"Astoria, OR",1987,5.3,1.6,0.4,69.3,97.6,17.9,109.7,51,27.1,6.9,15.8,26.3,8.4,28.4,175.6,74.3,150.1,1046.7,44.1,30.9,2000,250,18921,0.10504
11860,"Atchison, KS",333,0,3.6,-0.7,29.3,97.8,0.3,-4.2,-5.6,1.3,6.2,5.1,6.8,1.3,-2.7,60.1,39.4,6,78.2,12.5,-1.6,100,100,7192,0.04629
11900,"Athens, OH",1864,0.4,20.4,2.8,89.9,89.3,49.7,92.3,37.3,8.3,7,27.8,28.9,8.2,78,539.2,164.1,59.5,483.5,33.8,43.4,750,100,21383,0.08716
11940,"Athens, TN",1035,0.2,0.4,0,3.6,535.9,25.1,7.9,10.1,9.2,-5.7,-1.3,12.8,0.3,72,-38.2,101.4,57.9,209,16.4,18.1,750,100,20069,0.05158
11980,"Athens, TX",1462,0.6,113.9,9.2,141.4,117.4,52,9.6,4.5,27.1,-11.7,14.3,-0.2,13.5,48.6,174.5,176.5,110.3,367.2,73.7,19.6,500,100,27645,0.05289
12020,"Athens-Clarke County, GA",2745,-0.6,-3.6,-3.6,78.3,283,64.6,-63.4,169.6,161.6,-20.2,113,143.6,63.6,102.4,-2.9,212.2,214.4,1109.9,129.7,-6.2,2000,100,80287,0.03419
