county_fips,county_name,state_name,X000,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,max,tmax,total_li_workers_employed,low_income_worker_job_loss_rate
01001,Autauga County,Alabama,325,0,-1.5,-2.2,-32.1,23.5,-3.6,-41,-18.9,15.7,-7.7,8.9,5.8,10.9,-72.7,53,126.8,72.5,146.6,11,29.4,250,100,13286,0.02443
01003,Baldwin County,Alabama,1274,-5.6,6.4,-6.6,-162.1,48.3,-18.1,-47.8,-37.5,30.4,-18.2,50.2,10.4,40.2,-308.1,174.4,423.5,197.1,798.5,37.3,61.1,1000,100,49324,0.02582
01005,Barbour County,Alabama,80,-1,1.2,-1.3,-12.9,18.2,-0.4,-45.6,-20.6,6,-3.8,1.3,2.5,2.6,-42,33,59.3,11.8,59.4,1.4,10.4,100,100,6839,0.01166
01007,Bibb County,Alabama,70,-1.3,1,-0.5,-20.2,10.7,-2.5,-16.5,-9.1,5.3,-2.9,0.7,1.2,2.5,-30.5,30.4,48.1,9,34.8,3.6,6.5,100,100,4715,0.01493
01009,Blount County,Alabama,219,-1.4,-2.2,-1.4,-53.1,31.7,7.1,-49.8,-1.9,4.8,-2.8,5.9,9.1,11.3,-71.4,42.4,134.2,21.2,111.3,8.8,15.4,250,100,13155,0.01668
01011,Bullock County,Alabama,32,-0.9,0.2,-0.4,-4,8.9,-0.1,-17.4,-5.3,3.1,-1.2,0.4,0.6,1.1,-25.4,11.7,30.4,6.8,17.8,0.3,5.4,100,100,2916,0.0109
01013,Butler County,Alabama,87,-1,0.1,-0.5,-12.3,27.3,1.5,-36.7,-6.8,1.4,-3,2.1,4.3,3.4,-40.6,21.5,53.7,13.4,53.4,-0.1,6.2,100,100,5886,0.01481
01015,Calhoun County,Alabama,359,-2.2,0,-1.1,-51.8,90.9,0.3,-153.8,-66.5,14.5,-8.6,10.4,10,17.6,-205,114.2,258.4,39.8,249.4,14,29,500,100,27081,0.01327
01017,Chambers County,Alabama,117,-2.6,-0.2,-1.6,-19.5,61.2,-0.3,-60.6,-12.9,17.1,-5.9,2.3,3.5,8.9,-97.5,31.5,86.1,16.6,75.8,2.3,12.4,100,100,10107,0.01154
01019,Cherokee County,Alabama,84,-1.9,0,-1,-10.5,37.7,-0.9,-44.1,-13.7,3.6,-1.6,5.8,3.2,4.1,-35,18.5,68.5,6.9,37.7,-0.9,7.3,100,100,5634,0.01484
01021,Chilton County,Alabama,111,-3,-1.2,-1.4,-44.9,38.6,-0.7,-74.4,-7.5,6.8,-7.1,3.3,4.3,13.4,-59.7,36,80.7,23,83.4,3.3,17.7,100,100,10274,0.01076
01023,Choctaw County,Alabama,25,-5.7,0.2,-0.9,-10.3,5.2,-0.7,-14.9,-4.4,1.6,-1.6,1.1,1.5,1.4,-10.8,10.8,26.8,2.9,18.5,0.3,3.7,100,100,2512,0.00984
01025,Clarke County,Alabama,66,-9.7,0.5,-1.7,-22,17.8,-1.5,-37.2,-8,3.7,-5.7,2.5,2.5,3.3,-29.4,19.9,62.4,6.2,48.2,0.6,13.6,100,100,6150,0.01072
01027,Clay County,Alabama,73,-0.9,-0.3,-1.3,-8.1,45,-0.3,-25.4,-7.9,1.7,-1.5,4.3,1.8,2.5,-23,13.8,43.3,4.4,19.5,-0.5,6.3,100,100,4060,0.01803
01029,Cleburne County,Alabama,38,-0.7,-0.5,-0.5,-12.5,18.4,-0.5,-27.5,-5.6,1.9,-1.4,3.1,2.2,2.3,-21.7,12.5,37,3.1,22.7,-0.7,6.1,100,100,3418,0.01106
01031,Coffee County,Alabama,186,-2.5,0.2,-1.9,-22.9,41,3,-83.7,-14.1,2.2,-6.2,6.2,6.6,9.5,-63.8,36.4,117.6,24.6,121.1,-0.3,12.7,250,100,11550,0.01608
01033,Colbert County,Alabama,205,-1,0,-1,-34.1,23.3,-0.6,-54.1,-17.7,8,-6.2,4.8,3.3,9.4,-78.2,58.1,120.8,26.2,124.3,0.1,20,250,100,13541,0.01517
01035,Conecuh County,Alabama,46,-3.9,0.8,-1.2,-9.3,14.8,-0.9,-15.6,-6.3,0.9,-2,1.6,1.1,1.4,-14.5,9.7,32.2,6.4,23.6,0.3,7.4,100,100,3199,0.01453
01037,Coosa County,Alabama,36,-0.8,-0.4,-0.5,-8.1,14.4,-0.1,-15.7,-1.9,1.4,-1.9,0.8,0.7,2.9,-20.8,7.7,29,10.1,14.3,0.6,4.2,100,100,2561,0.01402
01039,Covington County,Alabama,104,-1.7,0.4,-3.9,-30.3,31.1,3.7,-70.3,-11,2,-5.3,4.3,4.7,6.4,-49,33.3,93.5,13.9,70.2,-0.2,12.4,100,100,9273,0.01122
01041,Crenshaw County,Alabama,57,-0.9,0,-1.4,-10.1,16.9,1.9,-24.7,-5.1,0.9,-2.4,2.1,1.9,3,-19.7,14.8,41,5.9,26.5,-0.1,6.8,100,100,4083,0.014
01043,Cullman County,Alabama,158,-2.8,-0.7,-1.6,-68.6,18.1,-9.1,-155.1,-22.8,22.2,-3.5,7.2,14.8,19.2,-125.8,59.5,185.4,37.2,159.6,-1.9,27.2,250,100,21274,0.00745
01045,Dale County,Alabama,147,-0.7,0.1,-1.2,-28,22,-0.2,-49.4,-30.2,6.8,-4.1,4.8,4.1,12.8,-62.1,29.8,107.4,20.5,107.7,0.7,6.2,250,100,10525,0.01398
01047,Dallas County,Alabama,207,-2.5,1,-1.5,-19.6,39.3,-3.7,-29.1,-13.8,10.3,-3.7,2.2,1.5,9.9,-76.2,56.4,108.8,17.7,80.9,10.2,18.6,250,100,10160,0.02034
01049,DeKalb County,Alabama,267,-2.9,-0.6,-1.9,-36.1,149.9,2.4,-78,-64.8,3.4,-3.7,6.9,5,7.8,-86.1,48.2,146.8,24,120.9,-0.3,25.6,250,100,17518,0.01523
01051,Elmore County,Alabama,491,0,-2.9,-1.5,-53.1,36,-4.8,-57.8,-22.8,19.7,-11.6,12,9.3,18.9,-109.2,67.9,189,158.6,183.6,15.5,44.5,250,100,19116,0.0257
01053,Escambia County,Alabama,203,-6.7,2,-2.2,-36.5,24.3,-2.3,-51.4,-12.7,2.5,-7.4,4.2,3.6,6.7,-37.1,26.5,83.3,102.5,78,0.7,25.3,250,100,9367,0.02171
01055,Etowah County,Alabama,502,-1.1,-1.4,-3.1,-53.8,82.7,10,-28.6,-39.7,20,-11.7,5.9,8.5,13.8,-195.3,74,305.6,55,201.6,22.8,36.9,500,100,25237,0.01989
01057,Fayette County,Alabama,64,-3,-0.7,-0.8,-9.2,5,-0.6,-15.8,-8.4,2.3,-2.6,4.6,1.2,3.1,-18.7,22.4,38.8,3.7,34.3,1.2,7,100,100,4525,0.01412
01059,Franklin County,Alabama,123,-1,0,-1.1,-18.9,31.6,-0.3,-28.8,-13.7,3.6,-4.1,2.1,1.7,5.6,-31.4,38.1,60.1,8.6,59.1,0.1,11.6,100,100,8919,0.01377
01061,Geneva County,Alabama,79,-1.3,0.2,-1,-17,18.4,-0.2,-31.2,-16.1,2.2,-2.3,2.5,2.6,5.2,-28.5,16.9,61.5,10.1,51.4,0.5,5.2,100,100,6499,0.01217
01063,Greene County,Alabama,46,-0.7,0.1,-0.2,-5,8.5,-0.5,-6.4,-4.3,2.3,-0.7,0.4,0.5,1.1,-16.3,9.7,24.2,9,17.7,1.9,4.9,100,100,2249,0.02056
01065,Hale County,Alabama,83,-2.3,0.4,-0.3,-12.5,11.9,-1,-13.5,-6.5,3,-1.9,0.7,0.9,1.8,-27,28.2,51.3,5.7,34.1,3.2,6.6,100,100,4211,0.01959
01067,Henry County,Alabama,58,-0.7,0.1,-0.6,-12.5,11,-0.1,-22.5,-14.2,3.5,-1.6,1.3,1.8,4.9,-30.5,14.8,49.9,8.8,40.4,0.3,3.6,100,100,4887,0.01179
01069,Houston County,Alabama,365,-1.1,0.6,-1.9,-63.1,46.3,-0.8,-129.9,-71.5,18.8,-8,8.7,9.7,26,-189.5,79.1,309.7,53.7,264.8,1.9,11.9,500,100,26480,0.0138
01071,Jackson County,Alabama,245,-0.9,-0.9,-1.7,-28.6,108,1.8,-63.5,-28,2.7,-3,7.8,4.5,7.2,-52.2,38.8,118.4,24.2,94.3,-0.2,16.7,250,100,13123,0.0187
01073,Jefferson County,Alabama,3126,-2.3,-2.3,-10.8,-300.6,212.8,9,-510.9,-405.3,115.3,-87.8,130.8,124.6,256,-1237.6,664,1658.2,491.2,1786.8,116.1,118.7,2000,100,156333,0.02
01075,Lamar County,Alabama,40,-1.7,-0.1,-0.7,-6.6,3.5,-0.4,-11.6,-8.8,2.3,-2.7,3.6,0.7,1.6,-17.9,10.4,33.1,2.7,26.3,1,5.8,100,100,3414,0.01186
01077,Lauderdale County,Alabama,350,-1.7,0,-2.5,-63.2,28.5,-1.1,-91.1,-31.3,22.3,-9.7,9,5.7,16.6,-118.2,89.9,194.9,53.5,219.1,0.2,29,250,100,21755,0.01609
01079,Lawrence County,Alabama,97,0,0,-0.7,-28.2,10.6,0.7,-22,-15.6,4.3,-1.5,2.1,1,8.6,-46.8,30.1,67.8,13.4,63.8,0.3,9.5,100,100,7871,0.01237
01081,Lee County,Alabama,854,0,-0.9,-2.2,-91.1,91.8,3.4,-61,-58.9,21.8,-18.1,19.2,4.8,31.2,-284.3,349.3,294.4,96.5,410.2,21.6,26.3,500,100,35087,0.02434
01083,Limestone County,Alabama,303,-0.5,0,-2.7,-63.8,36.6,0.9,-96.9,-13.7,10,-8.3,5.8,11.4,16.9,-143.6,89.6,188,39.5,216.9,5.4,11.4,250,100,20081,0.01508
01085,Lowndes County,Alabama,29,0,-0.1,-0.3,-5.6,12.6,-0.6,-5.6,-6.2,0.6,-0.7,1,0.6,2,-12.1,8.8,13.6,5.4,12.6,1,2.5,100,100,2076,0.01415
01087,Macon County,Alabama,85,-0.6,0.2,-1.2,-12.3,10,-0.3,-35.4,-14.3,4.4,-2.6,1,1.8,3.8,-63.8,43.4,58.6,20,63.9,1.1,7.2,100,100,5991,0.01417
01089,Madison County,Alabama,1249,-0.5,-0.7,-4.2,-164.5,49.5,-2,-437.9,-67.2,81.2,-37.9,27,43,31.3,-803.6,385.8,837,299.1,937.4,23.6,52.5,1000,100,82455,0.01515
01091,Marengo County,Alabama,84,-3.7,0.1,-0.5,-12.6,16,-1.9,-15.4,-7.5,3.6,-2.8,0.6,0.7,3.1,-43.1,28.5,66.4,5,35.8,4.1,7.5,100,100,5113,0.01641
01093,Marion County,Alabama,106,-2.4,-0.7,-1.3,-14.5,15.1,-0.9,-26.8,-13.2,4.1,-5.8,5.4,1.4,6.3,-40.9,30.3,68.7,6.4,62,1.4,11.5,100,100,8153,0.01301
01095,Marshall County,Alabama,255,-0.2,-2,-2.2,-60.8,68,3.8,-138.8,-29.1,6.3,-13.4,9.4,5.1,18.7,-145.6,61,178.8,41,226.9,-0.5,28.2,250,100,24998,0.01018
01097,Mobile County,Alabama,1920,0,4.8,-7.8,-342.1,73.2,-9.5,-429.1,-143.1,113.2,-61.9,95.9,35.9,98.2,-797.7,480.3,1077.6,262.8,1299.8,82.8,87.2,2000,100,104951,0.0183
01099,Monroe County,Alabama,67,-6.5,0.5,-0.8,-16.5,14.6,-2.5,-30.4,-11.5,2.1,-3.7,2.3,1.9,3.4,-24.6,16.4,53.1,23.7,35.5,0.4,9.4,100,100,5159,0.01298
01101,Montgomery County,Alabama,1184,-3.7,-0.5,-3,-87.6,104.5,-3,-144.3,-218.5,91,-36.4,24.8,25.2,59.3,-625,231.2,618.9,255.9,747.6,40.4,106.9,750,100,59702,0.01983
01103,Morgan County,Alabama,331,0,0,-1.5,-89.3,39,2.4,-83.7,-63.5,22,-5.4,9.3,4.4,38.4,-251.1,90.6,261,58.9,275.2,1.1,23.3,500,100,29999,0.01104
01105,Perry County,Alabama,54,-0.9,0.1,-0.2,-4,8.6,-0.7,-6.3,-3.1,1.4,-1.1,0.4,0.4,0.7,-14.5,18.7,26.1,2.4,19.1,1.3,5.3,100,100,2344,0.02296
01107,Pickens County,Alabama,78,-3.8,-0.1,-0.7,-12.3,17.8,-1.4,-26,-13.2,3.1,-1.3,1.6,2.1,4.2,-20.4,27.3,53,8.3,31.8,-0.2,8.4,100,100,5115,0.01531
01109,Pike County,Alabama,129,-1,0.1,-0.6,-15.6,19.4,-0.6,-49.5,-34,11.5,-4.6,1.8,3.2,10.4,-50.9,53,72.5,11,88,2,13.1,100,100,8569,0.01505
01111,Randolph County,Alabama,93,-1.3,-1.5,-0.4,-14.3,58.5,-0.7,-45.2,-12.8,3.3,-2.7,4.5,2.3,3.8,-38.8,23.3,65,7.2,34.1,-1,9.5,100,100,6280,0.01478
01113,Russell County,Alabama,180,-0.6,0.8,-1.6,-41.7,19.4,-0.9,-84.8,-35.6,14.2,-17.9,4.1,6.5,18.4,-127.8,76.6,155.3,28.1,146.5,3.3,18,250,100,14392,0.01252
01115,St. Clair County,Alabama,329,-1,-0.9,-1,-74.2,31.8,11.7,-79.3,-3.1,6.9,-4.7,8.5,16.4,27.5,-131,58.3,192.3,40.5,195.6,13.3,21.6,250,100,19746,0.01668
01117,Shelby County,Alabama,944,-0.9,-4.9,-3,-110.9,29.4,-7.7,-32.3,-55.3,35.2,-22.9,20.9,40.1,84.8,-278.5,203.8,415.6,160.4,437.9,-3.8,36.1,500,100,42443,0.02224
01119,Sumter County,Alabama,62,-1.2,0,-0.2,-3.8,7.1,-1,-8.5,-4.3,2.2,-0.8,0.4,0.3,2.3,-16.7,24.5,29.1,2.4,23,0.9,5.6,100,100,2632,0.02339
01121,Talladega County,Alabama,244,-1.5,-2.4,-2.2,-52.7,117.2,-3.1,-167.7,-60.3,12.9,-9.1,18.6,11.2,24.1,-196.5,84.9,241.6,52.8,158,-4.2,22.3,250,100,21894,0.01114
01123,Tallapoosa County,Alabama,167,-2.5,-0.3,-1.7,-35.7,69,-0.4,-71.3,-7.1,7.1,-5.9,3.3,3.3,18.7,-120,35.1,131,41.3,80.4,3.1,19.7,250,100,12073,0.01383
01125,Tuscaloosa County,Alabama,1237,-2.8,-6,-1.2,-128,87.4,-3.3,-181.5,-109.2,38.8,-13.6,21.1,30.5,41.1,-314.9,445.1,494.9,161.8,609,32.9,34.7,750,100,48964,0.02526
01127,Walker County,Alabama,266,-4.6,-3.8,-2.9,-42.1,12.1,-1.9,-63,-26.3,8.2,-8.8,18.2,5.7,17.6,-60.6,54.6,170.1,25.8,141.8,4.9,20.7,250,100,15967,0.01665
