ces_code_2_digit,sae_code_2_digit,sae_code_2_digit_backup
10000000,10000000,15000000
,15000000,06000000
20000000,20000000,15000000
30000000,30000000,06000000
31000000,31000000,30000000
32000000,32000000,30000000
40000000,40000000,07000000
,41000000,40000000
42000000,42000000,40000000
43000000,43000000,40000000
50000000,50000000,07000000
55000000,55000000,07000000
55520000,55520000,55000000
55530000,55530000,55000000
60000000,60000000,07000000
60540000,60540000,60000000
60550000,60550000,60000000
60560000,60560000,60000000
65000000,65000000,07000000
65610000,65610000,65000000
65620000,65620000,65000000
70000000,70000000,07000000
70710000,70710000,70000000
70720000,70720000,70000000
80000000,80000000,07000000
90000000,90000000,07000000
90910000,90910000,90000000
90920000,90920000,90000000
90930000,90930000,90000000
